設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[B11] MRIで用いられるフェーズドアレイコイルの特徴で正しいのはどれか。2つ選べ。,送受信型コイルである。,複数のコイルで構成されている。,コイルから離れた部位のSN比が高い。,小さなFOVでの高解像度撮影に用いられる。,パラレルイメージングを行う際に使用される。,"2,5",,核医学検査技術学,第68回(2016),普通
[B12] 無散瞳眼底カメラによる検査のとき、眼球に最も近いところに位置する部品はどれか。,有孔ミラー,対物レンズ,ハロゲンランプ,フォーカシングレンズ,クイックリターンミラー,2,,核医学検査技術学,第68回(2016),普通
[B13] 超音波検査で正しいのはどれか。2つ選べ。,体内での音速は空気中よりも速い。,周波数が高いほど深部での観察領域が広い。,カラードップラーでは探触子に近づく血流を青で表示する。,コンベックス式探触子では振動子が直線上に配列されている。,深部の減衰を補正するために感度補正tSTCuの調整が必要である。,"1,5",,核医学検査技術学,第68回(2016),普通
[B14] X線CT装置の日常点検項目に含まれないのはどれか。,ノイズ,スライス厚,幾何学的歪み,コントラストスケール,高コントラスト分解能,3,,核医学検査技術学,第68回(2016),普通
[B15] STIR法で正しいのはどれか。,CHESS法よりSN比は高い。,最初に90度のRFパルスを印加する。,水と脂肪の位相差を利用した撮影法である。,脂肪の縦磁化がゼロになる時間にTEを設定する。,CHESS法より磁場の不均一性の影響を受けにくい。,5,,核医学検査技術学,第68回(2016),普通
[B16] SE法を用いたMRCPで正しいのはどれか。,水抑制画像である。,短いTEで撮影される。,最大値投影法が有用である。,脊椎が高信号で描出される。,陽性造影剤を経口投与する。,3,,核医学検査技術学,第68回(2016),普通
[B17] MRIのアーチファクトで正しいのはどれか。,磁化率アーチファクトはTEを長くすることで軽減できる。,モーションアーチファクトは動きの方向に一致して出現する。,化学シフトアーチファクトは静磁場強度が高いほど大きくなる。,折り返しアーチファクトはスライス厚を薄くすることで回避できる。,トランケーションアーチファクトは分解能を低く設定すると抑制できる。,3,,核医学検査技術学,第68回(2016),普通
[B18] 超音波用造影剤に含まれるのはどれか。,空気,ヨウ素,トリウム,ガドリニウム,硫酸バリウム,1,,核医学検査技術学,第68回(2016),普通
[B19] 探触子を第4肋間胸骨左縁から頭側に傾けるようにして撮影した心エコーの四腔断面像tfour chamber viewuを別に示す。矢印で示す構造はどれか。【別冊No.1 図】,右心房,僧帽弁,三尖弁,心尖部,心室中隔,5,,核医学検査技術学,第68回(2016),普通
[B20] 無散瞳眼底写真撮影で正しいのはどれか。,検査は明室で実施する。,撮影前に散瞳剤を点眼する。,色覚異常の診断に有用である。,視神経乳頭は鼻側に位置する。,ピント合わせの照明に紫外線を使用する。,4,,核医学検査技術学,第68回(2016),普通
[B21] 頭部MRIのT2強調像を別に示す。矢印で示すのはどれか。【別冊No.2 図】,海馬,視床,中脳,脳梁,尾状核,4,,放射線治療技術学,第68回(2016),普通
[B22] MRIのT2強調矢状断像を別に示す。正しい組合せはどれか。2つ選べ。【別冊No.3 図】,ア — 鼻腔,イ — 脳脊髄液,ウ — 上咽頭,エ — 横突起,オ — 第11胸椎,"2,5",,放射線治療技術学,第68回(2016),普通
[B23] 健常成人のMRCP像を別に示す。矢印で示す構造はどれか。【別冊No.4 図】,右肝管,総肝管,胆囊管,総胆管,主膵管,3,,放射線治療技術学,第68回(2016),普通
[B24] 右季肋部斜走査の腹部超音波像を別に示す。矢印で示すのはどれか。【別冊No.5 図】,膵管,門脈,肝静脈,総肝管,脾静脈,2,,放射線治療技術学,第68回(2016),普通
[B25] ポジトロン放射性薬剤と検査目的の組合せで正しいのはどれか。,13N-NH3悪性腫瘍の転移巣検索,15O-CO脳腫瘍の再発診断,15O-CO2脳酸素代謝量測定,15O-O2心筋血流量測定,18F-FDG難治性部分てんかんの焦点検索,5,,放射線治療技術学,第68回(2016),普通
[B26] 得られる像が拡大するコリメータはどれか。2つ選べ。,平行多孔,ピンホール,コンバージング,スラントホール,ダイバージング,"2,3",,放射線治療技術学,第68回(2016),普通
[B27] SPECTの分解能に影響しないのはどれか。,回転半径,散乱補正,画像再構成法,放射能減衰補正,収集マトリクスサイズ18,4,,放射線治療技術学,第68回(2016),普通
[B28] F-FDG PETのSUV値で正しいのはどれか。,血糖値が高いと腫瘍で高くなる。,運動後に検査をすると筋肉で低くなる。,皮下への注射漏れがあると脳で高くなる。,投与から1時間経過すると腫瘍で一定となる。,18F-FDGが体外に排出されず体内に均等に分布すると1になる。,5,,放射線治療技術学,第68回(2016),普通
[B29] SPECTの画像処理で正しいのはどれか。,Wienerフィルタでスムージングがかかる。,Sorenson法は再構成後のデータを補正する。,Chang法は再構成前の投影データを補正する。,Butterworthフィルタは低域通過フィルタである。,Ramachandranフィルタは高周波成分を低減する。,4,,放射線治療技術学,第68回(2016),普通
[B30] 脳血流SPECT像を別に示す。矢印で示す構造はどれか。【別冊No.6 図】,視床,小脳,中脳,側頭葉,線条体,1,,放射線治療技術学,第68回(2016),普通
[B31] 甲状腺中毒症となっている時期に甲状腺の123Iの集積がびまん性に増加するのはどれか。,亜急性甲状腺炎,無痛性甲状腺炎,外因性甲状腺中毒症,Basedowtバセドウu病,Plummertプランマーu病,4,,医用画像情報学,第68回(2016),普通
[B32] 肝胆道シンチグラフィで正しいのはどれか。,99mTc-GSAを使用する。,投与後15分以内で撮影が完了する。,心臓と肝臓のカウント比を計測する。,乳児肝炎と胆道閉鎖症の鑑別に使用する。,酸刺激に対する放射性医薬品の排泄を評価する。,4,,医用画像情報学,第68回(2016),普通
[B33] 腎臓の核医学検査で正しいのはどれか。,腎動態シンチグラフィでは側面像で解析する。,99mTc-DTPAシンチグラフィでは腎血漿流量を算出できる。,99mTc-DMSAシンチグラフィは腎瘢痕の評価に有用である。,腎動態シンチグラフィの検査前に患者の水分摂取を制限する。,99m Tc-DMSAシンチグラフィは腎機能が低下している患者には禁忌である。18,3,,医用画像情報学,第68回(2016),普通
[B34] F-FDGの集積性が低いのはどれか。,大腸癌,悪性黒色腫,悪性リンパ腫,頭頸部 — 平上皮癌,高分化型肝細胞癌,5,,医用画像情報学,第68回(2016),普通
[B35] 病期診断にTNM分類が用いられるのはどれか。2つ選べ。,脳腫瘍,舌癌,食道癌,多発性骨髄腫,悪性リンパ腫,"2,3",,医用画像情報学,第68回(2016),普通
[B36] 抗悪性腫瘍薬との同時併用で放射線治療が行われるのはどれか。2つ選べ。,膠芽腫,甲状腺癌,肺癌,肝臓癌,骨肉腫,"1,3",,診療画像検査学,第68回(2016),普通
[B37] 定位放射線治療XSRTtstereotactic radiotherapyu[で誤っているのはどれか。,数回までの分割照射で行う。,画像誘導放射線治療tIGRTuと組み合わせて行う。,強度変調放射線治療tIMRTuと組み合わせて行う。,頭頸部腫瘍では照射中心位置精度の許容範囲は2mm以下である。,体幹部腫瘍では照射中心位置精度の許容範囲は10 mm以下である。,5,,診療画像検査学,第68回(2016),普通
[B38] 強度変調放射線治療tIMRTuにおける投与線量の不確かさの要因のうち、放射線治療計画装置と関係ないのはどれか。,不均質補正,ビームモデリング,線量計算アルゴリズム,低MU時のビーム特性,CT値-電子密度変換テーブル,4,,診療画像検査学,第68回(2016),普通
[B39] 6 MVリニアックのX線で正しいのはどれか。,線量最大深は3cmである。,"線量指標TPR20,10は0.5である。",平均エネルギーは — MeVである。,連続エネルギースペクトルをもつ。,水との主な相互作用は光電効果である。,4,,診療画像検査学,第68回(2016),普通
[B40] 乳房温存療法で正しいのはどれか。2つ選べ。,接線照射を行う。,10 MVのX線を使用する。,照射野前縁に乳頭を含めない。,断端陽性部への電子線追加照射をする。,標準的な線量時間配分は70 Gy/35分割/週である。,"1,4",,基礎医学大要,第68回(2016),普通
[B41] 陽子線の照射野形成で正しいのはどれか。,患者ボーラスは照射方向ごとに異なる。,Wobblertワブラーu電磁石には直流電源を用いる。,スキャニング法のビーム利用効率は散乱体法より悪い。,レンジシフターで拡大ブラッグピークtSOBPuを形成する。,二重散乱体法の第2散乱体は一種類の材質からできている。,1,,基礎医学大要,第68回(2016),普通
[B42] 前立腺癌の根治的外部照射で最も可能性の高い晩期障害はどれか。,貧血,腎不全,直腸出血,脊髄麻痺,萎縮性膀胱,3,,基礎医学大要,第68回(2016),普通
[B43] 放射線治療の適応となるのはどれか。2つ選べ。,子宮筋腫,卵巣囊腫,網膜剝離,甲状腺眼症,真性ケロイド,"4,5",,基礎医学大要,第68回(2016),普通
[B44] 放射線治療に伴う晩期障害で直列臓器はどれか。,唾液腺,肺,肝臓,脊髄,骨髄,4,,基礎医学大要,第68回(2016),普通
[B45] 論理回路を図に示す。対応する論理演算式はどれか。A C B,C＝(A・B)・(A・B),C＝(A・B)＋(A・B),C＝(A・B)・(A＋B),C＝(A・B)＋(A＋B),C＝(A＋B)＋(A＋B),4,,基礎医学大要,第68回(2016),普通
[B46] 相反則不軌に基づく写真現象はどれか。,隣接効果,圧力効果,間欠効果,クロスオーバ効果,Russelltラッセルu効果,3,,基礎医学大要,第68回(2016),普通
[B47] 画像Aと空間フィルタFを図に示す。画像Aに対してFのフィルタで処理したときの画素値aij 1i＝3，j＝33で正しいのはどれか。画像A 空間フィルタF j＝1 2 3 4 5 i＝1 0 0 0 1 2安1 0 1 2 1 1 1 2 3安2 0 2 3 1 2 2 2 3安1 0 1 4 2 2 2 3 3,安2,安1,0,1,2,5,,基礎医学大要,第68回(2016),普通
[B48] 階調処理はどれか。2つ選べ。,ボケマスク処理,メディアンフィルタ処理,ヒストグラム平坦化処理,リージョングローイング,ダイナミックレンジ圧縮処理,"3,5",,基礎医学大要,第68回(2016),普通
[B49] 放射線情報システムの機能に含まれないのはどれか。,照射録の作成,検査の予約管理,患者基本情報の登録,検査の実施情報入力,モダリティとの情報連携,3,,基礎医学大要,第68回(2016),普通
[B50] 生体を構成する元素で最も割合が少ないのはどれか。,H,C,N,O,Ca,5,,基礎医学大要,第68回(2016),普通
[B51] 不要物質の分解処理に関わる細胞小器官はどれか。,Golgitゴルジu装置,中心体,ミトコンドリア,リソソーム,リボゾーム,4,,基礎医学大要,第68回(2016),普通
[B52] 形質細胞に分化して抗体を産生するのはどれか。,B細胞,T細胞,好酸球,好中球,マクロファージ,1,,基礎医学大要,第68回(2016),普通
[B53] 声帯が付着する構造で声帯の前方に位置するのはどれか。,甲状軟骨,喉頭蓋,舌骨,披裂軟骨,輪状軟骨,1,,基礎医学大要,第68回(2016),普通
[B54] リンパ系について正しいのはどれか。,胸管は右の静脈角に注ぐ。,胸管の起始部を脈絡叢という。,胸管は上半身のリンパ液を集める。,右下半身のリンパ液は左の静脈角に注ぐ。,静脈角とは肩甲上静脈と鎖骨下静脈の合流部をいう。,4,,基礎医学大要,第68回(2016),普通
[B55] 腎臓で血液のろ過を行うのはどれか。,糸球体,腎盂,腎静脈,尿管,尿細管,1,,放射線生物学,第68回(2016),普通
[B56] 顔面の知覚を伝達するのはどれか。,滑車神経,三叉神経,外転神経,顔面神経,迷走神経,2,,放射線生物学,第68回(2016),普通
[B57] 音が伝わる順序で正しいのはどれか。,鼓膜或耳管或蝸牛或聴神経,鼓膜或耳管或三半規管或聴神経,鼓膜或耳管或耳小骨或聴神経,鼓膜或耳小骨或蝸 — 牛或聴神経,鼓膜或耳小骨或三半規管或聴神経,4,,放射線生物学,第68回(2016),普通
[B58] 骨転移の頻度が低いのはどれか。,腎癌,乳癌,肺癌,食道癌,前立腺癌,4,,放射線生物学,第68回(2016),普通
[B59] 肺塞栓症と関係が深いのはどれか。,肺気腫,動脈硬化,心房細動,僧帽弁狭窄症,深部静脈血栓症,5,,放射線生物学,第68回(2016),普通
[B60] 好発年齢が乳児期なのはどれか。,急性虫垂炎,十二指腸潰瘍,潰瘍性大腸炎,肥厚性幽門狭窄症,Crohntクローンu病,4,,放射線物理学,第68回(2016),普通
[B61] ホルモン分泌低下による疾患はどれか。,先端巨大症,中枢性尿崩症,原発性アルドステロン症,Cushingtクッシングu症候群,Parkinsontパーキンソンu病,2,,放射線物理学,第68回(2016),普通
[B62] 非ステロイド性抗炎症薬の作用はどれか。2つ選べ。,解熱,抗菌,鎮痛,粘膜保護,気管支拡張,"1,3",,放射線物理学,第68回(2016),普通
[B63] 動脈化学塞栓療法tTACEuが最も多く行われるのはどれか。,肺癌,食道癌,肝細胞癌,前立腺癌,子宮体癌,3,,放射線物理学,第68回(2016),普通
[B64] 罹患率が日本よりも欧米で高いのはどれか。2つ選べ。,胃癌,結核,前立腺癌,肝細胞癌,Crohntクローンu病,"3,5",,放射線物理学,第68回(2016),普通
[B65] 分子に間接作用するのはどれか。2つ選べ。,･H,･OH,システイン,グルタチオン,システアミン,"1,2",,医用工学,第68回(2016),普通
[B66] X線に対する反応のα/βが最も小さいのはどれか。,脱毛,下痢,脊髄症,口内炎,湿性落屑,3,,医用工学,第68回(2016),普通
[B67] 5 Gyの全身被ばくの1、2か月後に生じるのはどれか。,発がん,腸管死,骨髄死,分裂死,中枢神経死,3,,医用工学,第68回(2016),普通
[B68] 多分割照射で正しいのはどれか。,晩期有害事象の頻度が高い。,分裂頻度の高い腫瘍に有用である。,照射間隔は4時間以内が望ましい。,化学療法との同時併用は禁忌である。,転移性骨腫瘍の症状緩和に用いられる。,2,,放射線計測学,第68回(2016),普通
[B69] LETで誤っているのはどれか。,LETが高いとOERも高い。,炭素線は陽子線よりLETが高い。,中性子線はX線よりLETが高い。,単位としてkeV/μmが用いられる。,低LET放射線では感受性が細胞周期に依存する。,1,,放射線計測学,第68回(2016),普通
[B70] 核子1個当たりの平均結合エネルギーが最も大きいのはどれか。,4He,12C,24Mg,56Fe,226Ra,4,,放射線計測学,第68回(2016),普通
[B71] 制動X線で正しいのはどれか。,第1半価層は第2半価層より厚い。,実効エネルギーは線質表示に用いられる。,最短波長はターゲットの原子番号で決まる。,発生効率はターゲットの原子番号に反比例する。,エネルギー分布はMoseleytモーズレーuの法則に従う。,2,,放射線計測学,第68回(2016),普通
[B72] 光子と物質との相互作用で正しいのはどれか。,電子対生成のしきいエネルギーは1.022 MeVである。,電子対生成で生じる電子と陽電子の運動エネルギーは等しい。,三電子生成のしきいエネルギーは1.533 MeVである。,三電子生成では1個の電子と2個の陽電子が生成される。,三電子生成は原子核のCoulombtクーロンu場との相互作用によって起きる。,1,,放射線計測学,第68回(2016),普通
[B73] 重荷電粒子と物質との相互作用で正しいのはどれか。,α線はβ線より比電離が小さい。,衝突阻止能は速度の二乗に比例する。,衝突損失能より放射損失能が大きい。,空気中での比電離は飛程中一定である。,速度が光速を超えるとCherenkovtチェレンコフu光を発する。,5,,診療画像機器学,第68回(2016),普通
[B74] 核磁気共鳴現象において、90度RFパルス印加後に300 msで縦磁化が50％まで回復する組織の縦緩和時間［ms］はどれか。ただし、loge2＝0.693とする。,111,150,189,433,600,4,,診療画像機器学,第68回(2016),普通
[B75] 磁束密度の単位で正しいのはどれか。2つ選べ。,Wb,A･m−1,Wb･m−2,N･A−1,N･A−1･m−1,"3,5",,診療画像機器学,第68回(2016),普通
[B76] 図の回路で、100 μFのコンデンサCを4.8 Vに充電した後、スイッチSを閉じた。時間が無限に経過する間に抵抗Rを流れる電子数X個[はどれか。S C R,3 × 106,3 × 109,3 × 1012,3 × 1015,3 × 1021,4,,診療画像機器学,第68回(2016),普通
[B77] Viを入力信号、Voを出力信号としたときの回路を図に示す。リミッタ回路はどれか。ただし、Rは抵抗、Cはコンデンサ、D1及びD2はダイオード、V1及びV2は基準電圧とする。A B C C R C R C D E R R,A,B,C,D,E,"4,5",,診療画像機器学,第68回(2016),普通
[B78] 二極真空管のフィラメントに一定電流を流した後に陽極電圧を上昇させたときの特性曲線を図に示す。正しいのはどれか。陽極電流A B C陽極電圧D E,A,B,C,D,E,1,,診療画像機器学,第68回(2016),普通
[B79] 吸収線量Dを表す式はどれか。ただし、Eは光子のエネルギー、Φはフルエンス、μtr/ρは物質の質量エネルギー転移係数、μen/ρは物質の質量エネルギー吸収係数、μ/ρは物質の質量減弱係数とする。μ tr,D＝EΦ ρ E μ tr,D＝Φ ρ μ en,D＝EΦ ρ E μ en,D＝Φ ρ μ,D＝EΦ ρ,3,,診療画像機器学,第68回(2016),普通
[B80] 放射線検出器と関係する項目の組合せで正しいのはどれか。2つ選べ。,BF3計数管 — 熱中性子線,半導体検出器 — イオン再結合,電離箱線量計 — 電子なだれ,蛍光ガラス線量計 — 紫外線照射,ラジオクロミックフィルム — 現像,"1,4",,診療画像機器学,第68回(2016),普通
[B81] ある放射性試料の計数は5分間測定で800カウント、バックグラウンドが10分間測定で400カウントであった。正味計数率［cpm］とその標準偏差はどれか。,120案3,120案6,120案12,160案15,160案18,2,,診療画像機器学,第68回(2016),普通
[B82] 電離箱線量計を用いた高エネルギーX線の線量計測で必要ない補正項目はどれか。,温度,極性効果,線量率依存性,イオン再結合,エネルギー依存性,3,,診療画像機器学,第68回(2016),普通
[B83] 1.37及び2.75 MeVのγ線を放出する24Naのエネルギースペクトルを測定した結果、0.51 MeVにピークが観測された。このピークを説明する現象はどれか。,後方散乱,制動放射,干渉性散乱,電子対生成,コンプトン散乱,4,,X線撮影技術学,第68回(2016),普通
[B84] X線撮影における解剖学的説明で正しいのはどれか。,肋骨弓の下縁は第3腰椎の高さにある。,体を左右に二分する面を冠状面という。,乳様突起はOMラインよりも頭側に位置する。,四肢を体の正中線に近づける動きを外転という。,第4足趾と踵骨先端を結ぶ線は足部を撮影する際の基準線となる。,1,,X線撮影技術学,第68回(2016),普通
[B85] 血管造影検査における術者の被ばくで正しいのはどれか。2つ選べ。,プロテクタの内側と外側に線量計を装着する。,実効線量限度は1年間につき100 mSvである。,甲状腺を防護するためにネックガードを装着する。,患者の体格が大きくなるほど術者の被ばくは減る。,被ばくの第1要因はX線管からの漏洩X線である。,"1,3",,X線撮影技術学,第68回(2016),普通
[B86] 立位および坐位が困難な消化管穿孔を疑う患者に対する腹部単純X線撮影法で正しいのはどれか。,背臥位腹背方向撮影,背臥位第1斜位撮影,腹臥位背腹方向撮影,左側臥位腹背方向撮影,右側臥位左右方向撮影,4,,X線撮影技術学,第68回(2016),普通
"[B87] 濃度が200 w/v％の硫酸バリウム懸濁液を3,000 mL作成するために必要な硫酸バリウム粉末の重量［g］はどれか。",— 30,— 60,— 300,— 600,"6,000",5,,X線撮影技術学,第68回(2016),普通
[B88] CTコロノグラフィで正しいのはどれか。,骨盤高位で撮影する。,油性ヨード造影剤を使用する。,二酸化炭素で大腸を拡張させる。,大腸内部の色調観察が可能である。,Fine network patternを描出できる。,3,,X線撮影技術学,第68回(2016),普通
[B89] Dose length producttDLPuの単位で正しいのはどれか。,mGy,mSv,mGy･cm,mSv･cm,mSv/cm,3,,X線撮影技術学,第68回(2016),普通
[B90] 腰椎の正面X線写真を別に示す。正しい組合せはどれか。【別冊No.7 図】,ア — 肋骨,イ — 椎弓根,ウ — 第5腰椎,エ — 椎間関節,オ — 下関節突起,2,,X線撮影技術学,第68回(2016),普通
[B91] 右乳房のX線写真を別に示す。正しいのはどれか。【別冊No.8 図】,MLO撮影である。,脂肪性乳腺である。,リンパ節腫大を認める。,辺縁不整な腫瘤像を認める。,びまん性に石灰化を認める。,4,,X線撮影技術学,第68回(2016),普通
[B92] 脳血管のIVRを施行中に撮影した血管造影像を別に示す。正しいのはどれか。2つ選べ。【別冊No.9 図】,DSA画像である。,脳底動脈が描出されている。,動脈瘤が前大脳動脈にある。,動脈瘤をコイル塞栓術で治療している。,ガイドワイヤの先端は中大脳動脈にある。,"4,5",,X線撮影技術学,第68回(2016),普通
[B93] 胸部造影CT像を別に示す。矢印で示すのはどれか。【別冊No.10 図】,肺動脈,大動脈弓,上大静脈,上行大動脈,下行大動脈,1,,画像工学,第68回(2016),普通
[B94] X線画像系の特性評価用器具の写真を別に示す。この器具を使用して特性曲線を作成するとき誤差の要因となるのはどれか。2つ選べ。【別冊No.11 図】,線質硬化,散乱X線,焦点サイズ,器具の厚さの精度,空気によるX線の吸収,"1,2",,画像工学,第68回(2016),普通
[B95] 値が常に1になるのはどれか。2つ選べ。ただし、TNFは真陰性率、TPFは真陽性率、FNFは偽陰性率、FPFは偽陽性率とする。,TNF＋FNF,TNF＋FPF,TNF＋TPF,TPF＋FNF,TPF＋FPF,"2,4",,画像工学,第68回(2016),普通
[B96] 国際放射線防護委員会tICRPu2007年勧告において胎児への確定的影響を考慮すべきしきい線量［mGy］はどれか。,— 1,— 20,— 100,— 650,"2,500",3,,放射線安全管理学,第68回(2016),普通
[B97] 医療法施行規則で定める場所と実効線量限度の組合せで正しいのはどれか。2つ選べ。,一般病室内 — 1 mSv/年,病院の敷地の境界 — 250 μSv/月,病院内の人が居住する区域 — 1.3 mSv/3月,放射線治療病室の画壁の外側 — 1 mSv/週,診療用放射線照射装置使用室の画壁の外側 — 1 mSv/週,"4,5",,放射線安全管理学,第68回(2016),普通
[B98] 等価線量を算出するのに必要なのはどれか。2つ選べ。,組織重量,線質係数,組織加重係数,放射線加重係数,組織の平均吸収線量,"4,5",,放射線安全管理学,第68回(2016),普通
[B99] 施設の放射能汚染防止策で誤っているのはどれか。,管理区域内での飲食を禁止する。,排気フィルタを定期的に交換する。,排気口は高い煙突や建物の高層部に設置する。,管理区域内の気圧を外気よりわずかに陽圧となるように調節する。,排気口から排出する空気中の放射能濃度をガスモニタで監視する。198,4,,放射線安全管理学,第68回(2016),普通
"[B100] Auグレイン1,500 MBqを永久刺入された患者から2mの距離で1時間介助を行う看護師の被ばく線量［μSv］に最も近いのはどれか。ただし、患者の体内における減弱は考慮しないものとし、実効線量率定数は0.0576 μSv･m2･MBq−1･h−1とする。",21.6,43.2,86.4,172.8,345.6,1,,放射線安全管理学,第68回(2016),普通
