設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[B21] 筋萎縮性側索硬化症患者の萎縮が明らかな筋における針筋電図検査で認める所見はどれか。2つ選べ。,急速動員,陽性鋭波,完全干渉波形,線維束自発電位,短持続低振幅電位,"2,4",,臨床生理学,第70回(2024),普通
[B22] 検査部位の皮膚温度が30 ℃と低い状態で検査を行う場合、神経伝導検査への影響で正しいのはどれか。,刺激閾値が低下,伝導速度が低下,記録波形が多相化,記録波形の振幅が低下,記録波形の持続時間が短縮,2,,臨床生理学,第70回(2024),普通
[B23] 脳波の記録法で正しいのはどれか。2つ選べ。,電極配置は国際10-20法を基本とする。,基準電極導出法は耳朶電極を基準とする。,過呼吸賦活は1分間に40〜45回で施行する。,電極と頭皮との接触抵抗は記録に影響しない。,時定数を上げると低周波ノイズが低減される。,"1,2",,臨床生理学,第70回(2024),普通
[B24] 62歳女性。慢性肝疾患のため通院中である。意識障害が出現し記録した脳波を別に示す。所見はどれか。【別冊No.5 図】,三相波,徐波群発,棘徐波複合,周期性同期性放電,ヒプスアリスミア,1,,臨床生理学,第70回(2024),普通
[B25] 心尖部長軸像のカラードプラ像を別に示す。最も考えられるのはどれか。【別冊No.6 図】,僧帽弁狭窄症,大動脈弁狭窄症,心室中隔欠損症,僧帽弁閉鎖不全症,大動脈弁閉鎖不全症,5,,臨床生理学,第70回(2024),普通
[B26] 右側腹部超音波像を別に示す。最も考えられるのはどれか。【別冊No.7 図】,水腎症,腎結石,腎囊胞,尿管結石,腎細胞癌,2,,臨床生理学,第70回(2024),普通
[B27] 乳房の超音波像を別に示す。正しいのはどれか。2つ選べ。【別冊No.8 図】,形状不整,境界不明瞭,内部無エコー,縦横比1.0以上,後方エコーの増強,"3,5",,臨床生理学,第70回(2024),普通
[B28] MRI検査で誤っているのはどれか。,T2強調画像では水は高信号に描出される。,T1強調画像では脂肪は高信号に描出される。,MRアンジオグラフィ〈MRA〉には造影剤を要する。,拡散強調画像では超急性期脳梗塞巣の描出が可能である。,T2*強調画像はT2強調画像より出血・石灰化の検出に鋭敏である。,3,,臨床生理学,第70回(2024),普通
[B29] ビリルビンで正しいのはどれか。,尿中には非抱合型が排泄される。,抱合型はタウリンと結合している。,抱合型は非抱合型より酸化されやすい。,非抱合型は抱合型より光に対して不安定である。,δビリルビンは抱合型にグロブリンが結合している。,4,,臨床化学,第70回(2024),普通
[B30] 加水分解酵素はどれか。,ALP,AST,CK,γ-GT,LD,1,,臨床化学,第70回(2024),普通
[B31] アルドステロンの作用はどれか。,骨形成,脂質合成,Na再吸収,血糖値低下,心拍数上昇,3,,臨床化学,第70回(2024),普通
[B32] 高エネルギー化合物で最も高いエネルギーをもつのはどれか。,ATP,ピロリン酸,アセチルCoA,クレアチンリン酸,ホスホエノールピルビン酸,5,,臨床化学,第70回(2024),普通
[B33] 蛋白質の含有率が最も高いのはどれか。,HDL,IDL,LDL,VLDL,カイロミクロン,1,,臨床化学,第70回(2024),普通
[B34] 必須アミノ酸はどれか。,アラニン,グリシン,チロシン,プロリン,ロイシン,5,,臨床化学,第70回(2024),普通
[B35] 尿酸で正しいのはどれか。,血漿中で酸化作用を持つ。,血漿中濃度は朝より夜に高い。,酵素法試薬ではウレアーゼが用いられる。,核酸のピリミジン塩基の最終代謝産物である。,血漿中の尿酸の溶解度は約7.0 mg/dLである。,5,,臨床化学,第70回(2024),普通
[B36] 血中薬物濃度測定で検体に全血を用いるのはどれか。2つ選べ。,ジゴキシン,タクロリムス,シクロスポリン,メトトレキサート,フェノバルビタール,"2,3",,臨床化学,第70回(2024),普通
[B37] 過剰症を起こすビタミンはどれか。2つ選べ。,チアミン,レチノール,リボフラビン,アスコルビン酸,カルシフェロール,"2,5",,臨床化学,第70回(2024),普通
[B38] Child-Pughスコアに使用されるのはどれか。2つ選べ。,ALT,γ-GT,アルブミン,コリンエステラーゼ,プロトロンビン時間,"3,5",,臨床化学,第70回(2024),普通
[B39] 血中アンモニア濃度で正しいのはどれか。,成人では性差がある。,溶血検体で低値を示す。,消化管出血により上昇する。,採血後室温で放置すると低下する。,動脈血のアンモニア濃度は静脈血より高い。,3,,臨床化学,第70回(2024),普通
[B40] LDで正しいのはどれか。,2量体である。,LD5は赤血球に多く含まれる。,半減期が最も長いのはLD1である。,健常人血清ではLD3の割合が最も高い。,LD1はM型のサブユニットで構成される。,3,,臨床化学,第70回(2024),普通
[B41] 酵素活性測定の酵素と基質の組合せで正しいのはどれか。,ALP — 4-ニトロフェノール,ALT — L-グルタミン,AST — ピリドキサルリン酸,CK — N-アセチルシステイン,"α-アミラーゼ — 4,6-エチリデン-4-ニトロフェニル-マルトヘプタシド",5,,臨床化学,第70回(2024),普通
[B42] 尿細管機能の評価に用いられないのはどれか。,シスタチンC,α1-ミクログロブリン,β2-ミクログロブリン,肝臓型脂肪酸結合蛋白〈L-FABP〉,N-アセチルグルコサミニダーゼ〈NAG〉,1,,臨床化学,第70回(2024),普通
[B43] eGFRで正しいのはどれか。,採尿が必要である。,算出に年齢を用いる。,基準範囲に性差がある。,尿細管機能を評価する。,検査前に絶食が必要である。,2,,臨床化学,第70回(2024),普通
[B44] 糖尿病精査のため来院した患者の検査結果で糖尿病型を示すのはどれか。2つ選べ。,HbA1c 7.1％,随時血糖値210 mg/dL,グリコアルブミン21.5％,75 g経口ブドウ糖負荷試験1時間血糖値220 mg/dL,75 g経口ブドウ糖負荷試験2時間血糖値180 mg/dL,"1,2",,臨床化学,第70回(2024),普通
[B45] 子宮体癌で正しいのはどれか。,扁平上皮癌が多い。,好発年齢は30歳代である。,我が国の患者数は減少傾向にある。,エストロゲンの長期投与がリスクとなる。,ヒトパピローマウイルス感染に関係する。,4,,病理組織細胞学,第70回(2024),普通
[B46] 自然尿検体のPapanicolaou染色標本の弱拡大写真と強拡大写真を別に示す。考えられるのはどれか。【別冊No.9A・B 図】,円柱上皮細胞,尿路上皮細胞,デコイ細胞,尿路上皮癌細胞,リンパ腫細胞,4,,病理組織細胞学,第70回(2024),普通
[B47] 成人男性の剖検時の臓器重量で正常範囲内なのはどれか。,脳 — 700 g,甲状腺 — 100 g,心臓 — 300 g,肝臓 — 500 g,脾臓 — 400 g,3,,病理組織細胞学,第70回(2024),普通
[B48] 中和処理が必要な脱灰液はどれか。2つ選べ。,エチレンジアミン四酢酸〈EDTA〉,塩酸,ギ酸,硝酸,トリクロロ酢酸,"2,4",,病理組織細胞学,第70回(2024),普通
[B49] Nissl小体が染まる色素はどれか。,アニリン青,クレシル紫,クリスタル紫,アゾカルミンG,ルクソール・ファスト青,2,,病理組織細胞学,第70回(2024),普通
[B50] 最も感度が高い免疫組織化学染色法はどれか。,直接法,間接法,ポリマー法,ABC法〈アビジン・ビオチン・酵素複合体法〉,PAP法〈ペルオキシダーゼ・抗ペルオキシダーゼ法〉,3,,病理組織細胞学,第70回(2024),普通
[B51] 染色法と病原体の組合せで正しいのはどれか。,PAS反応 — アスペルギルス,DOPA反応 — B型肝炎ウイルス（HBs抗原）,Kossa反応 — 抗酸菌,Berlin blue染色 — クリプトコッカス,mucicarmine染色 — ヘリコバクター・ピロリ,1,,病理組織細胞学,第70回(2024),普通
[B52] 細胞診検体で抗凝固剤を添加するのはどれか。,膵液,髄液,胆汁,体腔液,十二指腸液,4,,病理組織細胞学,第70回(2024),普通
[B53] キシレンの性質で誤っているのはどれか。,引火性,水溶性,生殖毒性,皮膚刺激性,呼吸器有毒性,2,,病理組織細胞学,第70回(2024),普通
[B54] H-E染色標本を別に示す。この臓器はどれか。【別冊No.10 図】,胃,食道,大腸,肺,膀胱,1,,病理組織細胞学,第70回(2024),普通
[B55] 病理解剖で正しいのはどれか。,手術室で行う。,疾患の治療効果を判定する。,遺族の承諾を得る必要はない。,医師であれば誰でも行うことができる。,犯罪との関係が疑われる死体を対象とする。,2,,病理組織細胞学,第70回(2024),普通
[B56] うっ血と関係ないのはどれか。,偽膜,心臓病細胞,チアノーゼ,にくずく肝,ガムナ・ガンディ〈Gamna-Gandy〉結節,1,,病理組織細胞学,第70回(2024),普通
[B57] 下肢静脈血栓が原因で塞栓症が起こる動脈はどれか。,下行大動脈,腎動脈,前大脳動脈,肺動脈,腹腔動脈,4,,病理組織細胞学,第70回(2024),普通
[B58] 免疫組織化学染色で正しいのはどれか。,ホルマリン固定パラフィン包埋切片は使用できない。,内因性ペルオキシダーゼ活性の阻害に過酸化水素加メタノールを用いる。,一次抗体反応後は洗浄して十分に乾燥させる。,二次抗体は一次抗体と同じ動物種の抗血清を用いる。,ジアミノベンチジンでは赤色に発色される。,2,,病理組織細胞学,第70回(2024),普通
[B59] 骨髄血塗抹May-Giemsa染色標本を別に示す。診断に有用な表面抗原はどれか。【別冊No.11 図】,CD4,CD13,CD25,CD34,CD38,5,,臨床血液学,第70回(2024),普通
[B60] 疾患とその原因の組合せで正しいのはどれか。,赤芽球癆 — ヒトパルボウイルスB19感染,再生不良性貧血 — エリスロポエチン欠乏,遺伝性球状赤血球症 — αグロビン遺伝子異常,自己免疫性溶血性貧血 — 補体制御因子欠損,ビタミンB12欠乏性貧血 — 直腸切除,1,,臨床血液学,第70回(2024),普通
[B61] ヘモグロビン酸素解離曲線を別に示す。矢印の方向に曲線が移動したとき患者の状態で正しいのはどれか。【別冊No.12 図】,体温上昇,激しい運動,PaCO2上昇,代謝性アシドーシス,"2,3-ジフォスフォグリセリン酸〈DPG〉濃度低下",5,,臨床血液学,第70回(2024),普通
[B62] 凝固反応でリン脂質を必要とするのはどれか。2つ選べ。,第Ⅹ因子活性化,第Ⅺ因子活性化,フィブリン安定化,プロトロンビン活性化,プレカリクレイン活性化,"1,4",,臨床血液学,第70回(2024),普通
[B63] APTTの延長を認めないのはどれか。,血友病B,血小板無力症,第Ⅺ因子欠損症,ビタミンK欠乏症,抗リン脂質抗体症候群,2,,臨床血液学,第70回(2024),普通
[B64] 緩衝食塩溶液の希釈系列に検体A（ヘパリン血）を滴下後37 ℃で2時間静置した。その溶血度（％）と食塩濃度（％）の関係を別に示す。考えられるのはどれか。【別冊No.13 図】,鉄欠乏性貧血,巨赤芽球性貧血,再生不良性貧血,遺伝性球状赤血球症,自己免疫性溶血性貧血,1,,臨床血液学,第70回(2024),普通
[B65] 異常所見と疾患の組合せで正しいのはどれか。,Auer小体 — 急性リンパ芽球性白血病,Döhle小体 — 伝染性単核球症,Russell小体 — 多発性骨髄腫,核の過分節 — 重症感染症,偽Pelger核異常 — 巨赤芽球性貧血,3,,臨床血液学,第70回(2024),普通
[B66] 融合遺伝子が検出されるのはどれか。2つ選べ。,原発性骨髄線維症,真性赤血球増加症,本態性血小板血症,慢性骨髄性白血病,急性リンパ性白血病,"4,5",,臨床血液学,第70回(2024),普通
[B67] 3種類の濃度のADPを用いた血小板凝集能検査（透過光法）の結果を別に示す。誤っているのはどれか。【別冊No.14 図】,Aでは、血小板凝集の解離が認められる。,Aでは、プロスタサイクリンが放出されている。,Bでは、トロンボキサンA2が放出されている。,Bでは、二次凝集が認められる。,Cでは、血小板同士がフィブリノゲンを介して凝集している。,2,,臨床血液学,第70回(2024),普通
[B68] メチシリン耐性黄色ブドウ球菌〈MRSA〉で誤っているのはどれか。,遺伝子を保有する。,院内感染型と市中感染型がある。,治療にはバンコマイシンが用いられる。,判定にはセフォキシチンが用いられる。,基質拡張型β-ラクタマーゼ〈ESBL〉を産生する。,5,,臨床微生物学,第70回(2024),普通
[B69] 皮膚病変部より分離した真菌のスライド培養のラクトフェノールコットンブルー染色標本を別に示す。考えられるのはどれか。【別冊No.15 図】,属,属,属,属,属,3,,臨床微生物学,第70回(2024),普通
[B70] 属で正しいのはどれか。2つ選べ。,運動性を有する。,ブドウ糖を発酵する。,偏性好気性菌である。,グラム陽性桿菌である。,チトクロムオキシダーゼテスト陰性を示す。,"3,5",,臨床微生物学,第70回(2024),普通
[B71] 単毛菌はどれか。2つ選べ。,Burkholderia cepacia,Campylobacter jejuni,Klebsiella pneumoniae,Pseudomonas aeruginosa,Vibrio cholerae,"4,5",,臨床微生物学,第70回(2024),普通
[B72] 病原菌と選択分離培地の組合せで正しいのはどれか。,Mycoplasma pneumoniae — PPLO寒天培地,Neisseria gonorrhoeae — SS寒天培地,Pseudomonas aeruginosa — WYOα寒天培地,Shigella sonnei — NAC寒天培地,Vibrio parahaemolyticus — CIN寒天培地,1,,臨床微生物学,第70回(2024),普通
[B73] 毒素型食中毒の病原体で正しいのはどれか。,Campylobacter jejuni,Listeria monocytogenes,Shigella dysenteriae,Staphylococcus aureus,Vibrio parahaemolyticus,4,,臨床微生物学,第70回(2024),普通
[B74] が陰性を示すのはどれか。,VP反応,IPA反応,DNase試験,運動性テスト,リジン脱炭酸試験,2,,臨床微生物学,第70回(2024),普通
[B75] DNAウイルスはどれか。2つ選べ。,B型肝炎ウイルス,ムンプスウイルス,サイトメガロウイルス,ヒト免疫不全ウイルス,インフルエンザウイルス,"1,3",,臨床微生物学,第70回(2024),普通
[B76] カタラーゼテストで使用するのはどれか。,過酸化水素水,水酸化カリウム,α-ナフトール・アルコール,-ジメチルアミノベンツアルデヒド,テトラメチルパラフェニレンジアミン塩酸塩,1,,臨床微生物学,第70回(2024),普通
[B77] 培養に用いる検体で適切なのはどれか。,室温保存された髄液,唾液成分のみの喀痰,尿バックから採取された尿,ホルマリン処理された組織,冷蔵保存された血液培養ボトル,1,,臨床微生物学,第70回(2024),普通
[B78] 高水準消毒薬はどれか。2つ選べ。,過酢酸,ポビドンヨード,クロルヘキシジン,グルタルアルデヒド,次亜塩素酸ナトリウム,"1,4",,臨床微生物学,第70回(2024),普通
[B79] 抗炎症性サイトカインはどれか。,インターロイキン-1（IL-1）,インターロイキン-6（IL-6）,インターロイキン-8（IL-8）,インターロイキン-10（IL-10）,腫瘍壊死因子-α（TNF-α）,4,,臨床免疫学,第70回(2024),普通
[B80] ABO血液型が後天的変化を示す原因はどれか。,血友病,赤芽球癆,鉄欠乏性貧血,急性骨髄性白血病,自己免疫性溶血性貧血,4,,臨床免疫学,第70回(2024),普通
[B81] カラム凝集像の結果を別に示す。考えられるのはどれか。2つ選べ。【別冊No.16 図】,亜型,新生児,キメラ,寒冷凝集素,不規則抗体,"1,2",,臨床免疫学,第70回(2024),普通
[B82] 不規則抗体同定検査で正しいのはどれか。,赤血球試薬はAB型赤血球を使用する。,生理食塩液法で可能性の高い抗体を推定する。,可能性の高い抗体の推定は量的効果を考慮する。,否定できない抗体は陽性反応を示した赤血球から推定する。,不規則抗体スクリーニングで陽性となった検査方法で実施する。,5,,臨床免疫学,第70回(2024),普通
[B83] 日本人の新生児血小板減少症の原因で最も多いものはどれか。,抗HPA-1a抗体,抗HPA-2b抗体,抗HPA-3a抗体,抗HPA-4b抗体,抗HPA-5b抗体,4,,臨床免疫学,第70回(2024),普通
[B84] 遅発性溶血性輸血反応の原因となるのはどれか。,抗A,抗Jka,抗Leb,抗N,抗Xga,2,,臨床免疫学,第70回(2024),普通
[B85] ABO血液型で正しいのはどれか。,抗原は糖蛋白である。,Landsteinerの法則に従わない。,遺伝子は第9染色体上に存在する。,日本人の約20％が抗A陽性である。,赤血球1個当たりの抗原量は出生時に最も多い。,3,,臨床免疫学,第70回(2024),普通
[B86] 腫瘍マーカーと疾患の組合せで正しいのはどれか。,AFP — 大腸癌,CA125 — 乳癌,CA15-3 — 膵癌,PIVKA-Ⅱ — 卵巣癌,ProGRP — 肺小細胞癌,5,,臨床免疫学,第70回(2024),普通
[B87] 血小板製剤で正しいのはどれか。2つ選べ。,使用前に加温する。,放射線を照射する。,暗所で静置保存する。,スワーリングが観察される。,有効期間は採血後7日間である。,"2,4",,臨床免疫学,第70回(2024),普通
[B88] 貯血式自己血採血の対象とならないのはどれか。,妊娠30週,年齢75歳,体重40 kg,HBs抗原陽性,Hb値9.5 g/dL,5,,臨床免疫学,第70回(2024),普通
[B89] イムノクロマト法による抗原検査が行われないのはどれか。,EBウイルス,RSウイルス,ロタウイルス,インフルエンザウイルス,新型コロナウイルス〈SARS-CoV-2〉,1,,臨床免疫学,第70回(2024),普通
[B90] 食中毒の原因菌と原因食品の組合せで正しいのはどれか。,ウェルシュ菌 — シチュー,腸炎ビブリオ — はちみつ,ボツリヌス菌 — 生魚介類,黄色ブドウ球菌 — 生肉,カンピロバクター — おにぎり,1,,公衆衛生学,第70回(2024),普通
[B91] 要介護認定の申請先はどれか。,主治医,市区町村,都道府県,介護認定審査会,介護老人保健施設,2,,公衆衛生学,第70回(2024),普通
[B92] 医療法に基づいて設置されるのはどれか。,保健所,保険薬局,特定機能病院,特別養護老人ホーム,精神保健福祉センター,3,,公衆衛生学,第70回(2024),普通
[B93] 感染症法に基づく入院勧告の対象となるのはどれか。,麻疹,コレラ,マラリア,エボラ出血熱,後天性免疫不全症候群〈AIDS〉,4,,公衆衛生学,第70回(2024),普通
[B94] 三次予防はどれか。,職業訓練,保健指導,予防接種,人間ドック,新生児マススクリーニング,1,,公衆衛生学,第70回(2024),普通
[B95] 滅菌装置で正しいのはどれか。,プラズマ滅菌装置はカテーテル類の滅菌に使用される。,乾熱滅菌装置の滅菌条件は140 ℃、3時間以上である。,酸化エチレンガス〈EOG〉滅菌装置は高温滅菌法である。,熱を用いる滅菌では、湿熱よりも乾熱の方が滅菌効率が良い。,高圧蒸気滅菌装置〈オートクレーブ〉の滅菌条件は1.5気圧、15分間である。,1,,医用工学概論,第70回(2024),普通
[B96] 生体組織の商用交流における導電率の大小関係で正しいのはどれか。,角質＞真皮,血清＞全血,骨髄＞リンパ液,細胞膜＞細胞内液,脂肪＞筋組織,2,,医用工学概論,第70回(2024),普通
[B97] 電気工学に関する関係式で誤っているのはどれか。,仕事＝仕事率×時間,仕事率＝電圧×電流,電圧＝電流×抵抗,電流＝電気量×時間,電気量＝静電容量×電圧,4,,医用工学概論,第70回(2024),普通
[B98] ME機器のBF形着部を表す医療機器関連図記号はどれか。,円の中にアース（接地）線,四角の中に四角,四角の中に人型,四角の中にハート,三角の中に感嘆符,3,,医用工学概論,第70回(2024),普通
[B99] 図のフローチャートを開始から終了まで実行してｓに1から3までの整数の和を得たい。①に入る記号はどれか。,＜,≦,＝,＞,≧,2,,医用工学概論,第70回(2024),普通
[B100] 分光光度計から得られる吸光度で正しいのはどれか。2つ選べ。,0から1の値をとる。,透過率の逆数で表す。,混濁によって減少する。,溶液の濃度に比例する。,溶液の光路長に比例する。,"4,5",,医用工学概論,第70回(2024),普通
